;nome;preco;descricao
1412;Coxão Duro Bovino Distriboi Pedaço;R$ 43,90/kg;A partir de 1000g
1413;Coxão Duro Bovino Distriboi Pedaço;R$ 39,90/kg;A partir de 1000g
1414;Patinho Bovino Peça;R$ 39,90/kg;A partir de 500g
1415;Patinho Bovino Peça;R$ 40,90/kg;A partir de 500g
1416;Brochete;R$ 44,90/kg;A partir de 500g
1417;Picanha Bovina Fatiada;R$ 119,90/kg;A partir de 1000g
1418;Contra Filé Bife;R$ 49,90/kg;A partir de 500g
1419;Maminha da Alcatra;R$ 44,90/kg;A partir de 500g
1420;Maminha da Alcatra;R$ 45,90/kg;A partir de 500g
1421;Fraldinha Embalada;R$ 39,90/kg;A partir de 500g
1422;Bife Á Role;R$ 43,90/kg;A partir de 500g
1423;Carne Salgada;R$ 17,90/kg;A partir de 500g
1424;Bife Lombo Suíno;R$ 30,90/kg;A partir de 500g
1425;Cupim;R$ 52,90/kg;A partir de 500g
1426;Boua Hambúrguer Misto Carne e Frango;R$ 1,69;56 g
1427;Maturatta Cupim Bov Cong;R$ 54,90/kg;A partir de 1000g
1428;Fraldinha Fatiada;R$ 39,90/kg;A partir de 1100g
1429;Marfrig Bife De Músculo Bovino;R$ 29,90/kg;A partir de 500g
1430;Picanha Fatiada;R$ 59,90/kg;A partir de 500g
1431;Picanha Grill Minerva;R$ 69,90/kg;A partir de 500g
1432;Contra Filé Peça;R$ 44,90/kg;A partir de 1000g
1433;Lagarto Gordura Sem Capa;R$ 44,90/kg;A partir de 500g
1434;Alcatra Maturatta;R$ 59,99/kg;A partir de 500g
1435;Bombom Alcatra;R$ 51,90/kg;A partir de 500g
1436;Paleta Cordeiro;R$ 29,90/kg;A partir de 500g
1437;Lagarto Peça;R$ 39,90/kg;A partir de 1000g
1438;Carne Homogenizada Patinho;R$ 42,90/kg;A partir de 500g
1439;File Mignon Bovino;R$ 79,90/kg;A partir de 500g
1440;Carne Homogenizada Dianteiro Hiper Moreira;R$ 29,90/kg;A partir de 500g
